Gene	HumanOrtho	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
HS3ST3B1	HS3ST3B1	2.65	2.48	2.42	0.96	1
MERTK	MERTK	0.02	0.01	0.01	0	0
ZFYVE26	ZFYVE26	2.7	2.75	2.38	0.98	1.05
DPPA4	DPPA4	0	0.02	0	0	0
ENSCSAG00000019591	NA	0	0	0	0	0
ENSCSAG00000010531	GAPDH	1071.07	1059.25	978.36	314.21	307.43
SHCBP1	SHCBP1	5.44	5.24	4.74	0.92	0.97
FBXO11	FBXO11	17.42	17.2	14.71	6.39	7.56
RASSF9	RASSF9	0.92	0.98	0.78	0.21	0.24
ENSCSAG00000007276	NA	0.01	0.01	0	0.01	0.01
ENSCSAG00000026716	NA	0	0	0	0	0
ENSCSAG00000017577	LAMA1	0.06	0.09	0.06	0.01	0.03
UGT3A2	UGT3A2	0	0	0	0	0
NR2F1	NR2F1	1.34	1.18	0.97	0.77	0.74
DGCR2	DGCR2	19.88	19.49	17.73	6.28	5.76
ACOT4	ACOT4	0.03	0.01	0.01	0	0.03
CHD7	CHD7	3.88	4.37	3.6	1.93	1.9
ENSCSAG00000013010	NA	0	0	0	0	0
PCOLCE2	PCOLCE2	0.21	0.22	0.22	0.06	0.04
CIZ1	CIZ1	14.55	14.42	13.7	4.87	4.83
ENSCSAG00000001834	FLG2	0.01	0.01	0	0	0
ENSCSAG00000009018	IGHV4-28	0	0	0	0	0
BUD31	BUD31	20.45	19.35	18.38	7.21	7.77
KCNMB3	KCNMB3	0	0	0	0	0
NDUFA4	NDUFA4	60.6	57.36	53.29	8.74	8.65
OR8D4	OR8D4	0	0	0	0	0
TUBA3D	TUBA3D	0.25	0.14	0.11	0.15	0
C9orf72	C9orf72	0	0	0	0	0
GRSF1	GRSF1	18.73	17.99	16.45	5.83	6.04
ADIPOR1	ADIPOR1	21.67	21.09	19.27	5.45	5.13
SNORD113-9	SNORD113-9	0	0	0	0	0
RRAGD	RRAGD	4.33	4.19	3.73	1	0.67
COA4	COA4	21.94	22.27	21.18	5.38	6.21
ITGB6	ITGB6	0.85	0.85	0.71	0.13	0.12
ENSCSAG00000026337	NA	0	0	0	0	0
SNORD61	SNORD61	0	0	0	0	0
ENSCSAG00000026262	AC107024.1	0	0	0	0	0
ENSCSAG00000026972	NA	0	0	0	0	0
ENSCSAG00000000206	H2AC19	485.32	470.87	448.84	251.91	235.26
OSCAR	OSCAR	0.02	0	0	0	0
ENSCSAG00000020768	AC092630.1	0	0	0	0	0
SYNPO2	SYNPO2	0	0.01	0.01	0	0
XPC	XPC	14.95	13.82	13.56	3.68	3.28
ENSCSAG00000014248	NA	0	0	0	0	0
TBC1D14	TBC1D14	13.37	13.1	11.76	4.59	4.6
TARM1	TARM1	0	0	0	0	0
NDC80	NDC80	7.02	6.43	6.26	1.24	1.31
CHD1L	CHD1L	6.17	5.92	5.35	1.3	1.44
ENSCSAG00000010885	ATOX1	49.33	51.12	58.52	4.78	10.75
EPHA2	EPHA2	23.85	25.15	22.6	29.25	29.15
UBA7	UBA7	4.22	4.01	3.61	1.12	1.03
JMJD4	JMJD4	4.65	4.34	4.19	1.3	1.22
MGRN1	MGRN1	19.65	19.34	17.41	5.55	5.14
ENSCSAG00000008465	NA	0	0	0	0	0
MRPL51	MRPL51	69.06	66.87	63.25	16.99	18.11
CNEP1R1	CNEP1R1	2.34	2.15	2.01	0.53	0.57
TRAPPC8	TRAPPC8	5.09	5.09	4.45	1.8	2.1
PLOD2	PLOD2	4.11	4.02	3.69	0.68	0.7
MS4A4A	MS4A4A	0	0	0	0	0
ENSCSAG00000027800	AL591387.1	0	0	0	0	0
GNAL	GNAL	0.37	0.27	0.18	0.03	0.05
ENSCSAG00000027785	AC012354.8	0	0	0	0	0
GRIK5	GRIK5	0.66	0.61	0.53	0.1	0.18
ENSCSAG00000013381	NA	0	0	0	0	0
CACNA1G	CACNA1G	0.45	0.38	0.38	0.06	0.1
SON	SON	29.96	31.32	26.11	7.81	8.44
RBFA	RBFA	15.52	15.34	13.63	4.06	4.19
TOPAZ1	TOPAZ1	0	0	0	0	0
PGLS	PGLS	14.6	14.56	13.1	6.7	6.54
CHST11	CHST11	2.27	2.54	2.26	0.97	1.17
PFKFB2	PFKFB2	8.56	8.74	8.85	2.06	2.87
WEE1	WEE1	3.89	3.78	3.31	1.19	1.41
ENSCSAG00000023993	NA	0	0	0	0	0
BBS10	BBS10	2.07	2.14	1.65	0.36	0.64
DUT	DUT	10.68	9.86	8.97	1.76	2
ENSCSAG00000010491	AMDHD2	6.99	6.74	6.69	1.75	1.67
ACOT11	ACOT11	4.23	4.22	3.7	1.49	1.01
ZRANB3	ZRANB3	1.14	1.06	0.88	0.2	0.27
ENSCSAG00000019753	RPL39	0	0	0	0	0
ENSCSAG00000027291	AL138691.1	0	0	0	0	0
ENSCSAG00000020727	MIR520B	0	0	0	0	0
ZNF43	ZNF43	0.66	0.62	0.48	0.12	0.13
ADCY6	ADCY6	13.56	14.64	12.42	3.57	3.23
PDE12	PDE12	9.98	10.49	9.46	3.76	3.77
KNL1	KNL1	4	4.48	3.28	0.89	1.03
CYP26B1	CYP26B1	0.54	0.45	0.45	0.14	0.15
CRYGC	CRYGC	0.37	0.31	0.14	0	0.22
CD274	CD274	0.08	0.04	0.12	0.1	0.23
ENSCSAG00000024445	NA	0	0	0	0	0
PTPN6	PTPN6	4.5	4.42	3.73	1.26	1.16
SNRNP200	SNRNP200	62.23	67.24	55.66	15.13	14.81
ENSCSAG00000020995	NA	0	0	0	0	0
LRRC34	LRRC34	0.65	0.65	0.55	0.14	0.07
ANKRD9	ANKRD9	9.56	9.21	9.32	4.68	4.21
NRSN2	NRSN2	0.02	0.03	0	0	0
ENSCSAG00000020464	NA	0	0	0	0	0
ENTPD4	ENTPD4	10.42	9.88	8.96	2.26	2.47
PLA2G2D	PLA2G2D	0	0	0	0	0
CXorf58	CXorf58	0.1	0.1	0.08	0.05	0
DYNLT3	DYNLT3	1.83	2.54	1.61	0	0
NF2	NF2	18.46	18.27	16.28	4.33	4.31
SPTA1	SPTA1	0	0	0	0	0
ENSCSAG00000003749	NA	0.48	0.63	0.32	0.31	0.26
ENSCSAG00000020340	NA	0	0	0	0	0
QRSL1	QRSL1	6.62	6.44	5.76	1.54	1.71
DROSHA	DROSHA	9.16	9.35	7.73	2.32	2.57
CYP2R1	CYP2R1	1.6	1.6	1.39	0.2	0.17
TP53BP1	TP53BP1	14.5	14.76	12.5	3.8	3.48
ENSCSAG00000021770	AL359751.1	0	0	0	0	0
TRIM17	TRIM17	0.13	0.18	0.06	0.05	0
MUC21	MUC21	0.01	0.01	0.02	0	0
FABP4	FABP4	1.38	1.29	1.14	0.09	0.32
SLC41A2	SLC41A2	1.57	1.54	1.12	0.43	0.46
KIF18A	KIF18A	4.22	4	3.47	1.15	1.18
SLCO5A1	SLCO5A1	1.24	1.48	1.27	1.39	1.86
ZCCHC10	ZCCHC10	2.25	2.26	2.07	0.54	0.61
MRPS27	MRPS27	10.7	10.24	9.43	2.36	2.48
MIR515-1	MIR515-1	0	0	0	0	0
NKX3-2	NKX3-2	0.68	0.67	0.45	0.14	0.04
STX1A	STX1A	2.38	2.36	1.96	0.76	0.98
DERL2	DERL2	4.05	3.96	3.64	0.81	0.81
ENSCSAG00000010238	NA	38.09	38.76	33.95	21.74	22.05
RPE65	RPE65	0.07	0.11	0.06	0	0.11
SNORA2B	SNORA2B	0	0	0	0	0
IGHV3-73	IGHV3-73	0	0	0	0	0
COPS7A	COPS7A	7.44	7.19	6.52	1.31	1.6
PLRG1	PLRG1	5.78	5.94	5.19	1.43	1.58
CYP2U1	CYP2U1	6.68	6.73	6.18	1.16	1.21
PTCD2	PTCD2	3.08	2.9	2.61	0.73	0.69
SLC6A18	SLC6A18	0	0	0.01	0	0
ENSCSAG00000021819	NA	0	0	0	0	0
SEL1L3	SEL1L3	34.75	32.85	29.54	7.35	7.66
ENSCSAG00000022246	NA	0	0	0	0	0
KCNK3	KCNK3	3.03	2.57	2.86	0.73	1.04
HSDL1	HSDL1	1.87	1.82	1.7	0.32	0.27
C2CD4B	C2CD4B	0	0	0	0	0
CCNL2	CCNL2	6.46	6.76	5.66	1.64	1.81
ENSCSAG00000015686	CDH26	0.09	0.1	0.07	0.01	0.01
ENSCSAG00000021681	NA	0	0	0	0	0
CRYBB2	CRYBB2	0	0	0	0	0
SHISA4	SHISA4	5.32	5.03	4.79	1.24	0.79
ZNF554	ZNF554	1.62	1.53	1.51	0.61	0.78
ENSCSAG00000024411	NA	0	0	0	0	0
FAM155B	FAM155B	2.47	1.8	2	0.7	0.43
ENSCSAG00000000507	NA	0	0	0.04	0.24	0
PPTC7	PPTC7	3.92	3.58	3.63	1.25	1.88
CCDC86	CCDC86	3.65	3.5	3.22	1.23	1.31
DENND4C	DENND4C	6.57	6.55	5.58	1.86	2.13
ENSCSAG00000020511	NA	0	0	0	0	0
ENSCSAG00000025974	AC074091.1	0	0	0	0	0
ENSCSAG00000001129	NA	0.06	0	0.08	0	0
ENSCSAG00000024013	NA	0	0	0	0	0
CAV3	CAV3	0	0	0	0	0
MYBPHL	MYBPHL	0.05	0.02	0.02	0	0
PICK1	PICK1	4.99	5.15	4.52	1.64	1.25
DGAT1	DGAT1	13.27	12.43	12.48	2.57	3.41
MBD1	MBD1	11.94	11.4	10.59	4.99	5.2
HSP90B1	HSP90B1	179.33	175.48	158.98	29.4	32.47
PEAR1	PEAR1	4.39	4.59	3.84	1.48	1.54
ANXA11	ANXA11	43.89	44.44	40.62	11.84	12.83
ENSCSAG00000022517	NA	0	0	0	0	0
SNCG	SNCG	17.04	16.47	14.99	7.69	7.85
MICOS13	MICOS13	92.85	82.65	83.66	15.3	15.01
CSNK1G2	CSNK1G2	11.59	12.17	11.27	4.14	4.09
ENSCSAG00000024261	NA	0	0	0	0	0
ZDHHC2	ZDHHC2	5.64	5.63	4.38	1.63	1.41
IRF9	IRF9	10.4	9.92	8.94	4.47	5.34
TMEM241	TMEM241	1.63	1.14	1.27	0.17	0.1
ENSCSAG00000022005	NA	0	0	0	0	0
PSMC2	PSMC2	29.37	30.39	27.55	5.33	6.16
ANAPC2	ANAPC2	5.93	6.1	5.64	1.58	1.34
ACAP1	ACAP1	0.03	0.05	0.04	0.06	0.03
THRA	THRA	3.42	3.5	3.12	1.01	1.01
ENSCSAG00000022762	NA	0	0	0	0	0
ABHD4	ABHD4	16.62	17.2	14.47	3.85	2.45
APOA5	APOA5	0.63	0.79	0.6	0.2	0.29
SLC7A5	SLC7A5	19.81	21.34	18.95	8.18	8.93
ENSCSAG00000005112	HOPX	0	0	0	0	0
ENSCSAG00000006384	NA	0	0	0	0	0
ARHGAP21	ARHGAP21	5.74	5.72	4.81	1.97	2.01
SAYSD1	SAYSD1	2.75	2.81	1.83	0.4	0.74
ENSCSAG00000020890	NA	0	0	0	0	0
ENSCSAG00000021898	NA	0	0	0	0	0
FCRL4	FCRL4	0	0	0	0	0
SEPTIN14	SEPTIN14	0.23	0.16	0.2	0.08	0.1
PKNOX1	PKNOX1	5.04	5.44	4.38	1.35	1.59
ENSCSAG00000000921	NA	0	0	0	0	0
ENSCSAG00000016923	NA	0	0	0	0.21	0
IMPA2	IMPA2	17.6	17.02	16.41	5.05	4.04
MYO3B	MYO3B	0	0.01	0	0	0
ENSCSAG00000000382	NA	0.64	0.48	0.5	0.08	0.15
PDK1	PDK1	3.02	2.41	2.55	0.87	0.59
ENSCSAG00000001671	NA	0.14	0.13	0.13	0.02	0.04
HDHD2	HDHD2	7.78	8.07	7.18	2.3	2.56
ENSCSAG00000025007	NA	0	0	0	0	0
ADAMTS14	ADAMTS14	0.55	0.6	0.49	0.15	0.17
ENSCSAG00000018572	UBE2V2	25.16	25.62	21.6	4.6	4.84
RAB11B	RAB11B	36	34.52	32.29	8.78	8.45
RIPOR2	RIPOR2	0.34	0.32	0.28	0.15	0.11
SPDL1	SPDL1	8.05	8.11	7.27	1.68	2.2
CDH22	CDH22	0.05	0.02	0.01	0	0
DHX32	DHX32	2.51	2.41	2.11	0.48	0.58
DCSTAMP	DCSTAMP	0	0	0	0	0.03
GZMB	GZMB	0	0	0.01	0	0
RFC4	RFC4	9.57	9.72	8.98	2.18	2.41
P2RY4	P2RY4	0	0	0	0	0
MIR424	MIR424	0	0	0	0	0
CLIC4	CLIC4	165.07	170.9	145.45	27.13	34.08
GPRC5A	GPRC5A	10	10.86	9.03	4.2	3.55
SERPINB7	SERPINB7	0.01	0.01	0.01	0	0
TSPAN5	TSPAN5	4.68	4.45	4.02	0.96	0.86
TGIF1	TGIF1	31.15	28.73	26.63	9.01	10.21
EXPH5	EXPH5	1.97	2.18	1.79	0.6	0.79
ASMTL	ASMTL	3.42	3.28	2.99	0.81	1.1
ZNF34	ZNF34	1.7	1.48	1.33	0.73	0.71
SUPT5H	SUPT5H	31.36	30.43	28.82	7.3	7.67
NUPR1	NUPR1	0.07	0.11	0.03	0.1	0
ENSCSAG00000024302	NA	0	0	0	0	0
GPC1	GPC1	10.23	9.38	9.08	3.38	3.03
ENSCSAG00000004386	NA	0	0	0	0	0
ENSCSAG00000023807	NA	0	0	0	0	0
CAPN1	CAPN1	36.91	36.45	33.18	7.65	8.25
C6orf118	C6orf118	0	0	0	0	0
TRNAU1AP	TRNAU1AP	2.63	2.4	2.23	0.9	1.12
CLPB	CLPB	7.27	7.09	6.41	1.61	1.64
ENSCSAG00000001972	NA	0.14	0.13	0.08	0.05	0.05
KLF11	KLF11	5.29	4.92	4.35	2.46	2.87
OMD	OMD	0.01	0.01	0.01	0	0
MIDEAS	MIDEAS	3.99	4.24	3.73	1.99	2.18
ENSCSAG00000001710	RFPL4AL1	0	0	0	0	0
ACP4	ACP4	0.01	0.04	0.03	0.03	0
CPSF2	CPSF2	8.74	8.74	7.75	2.12	2.15
ENSCSAG00000012957	CCDC141	0.01	0.01	0.01	0	0
NAV2	NAV2	4.4	4.96	3.71	2.1	1.95
FAM193B	FAM193B	2.64	2.8	2.62	1.45	1.49
ENSCSAG00000022487	NA	0	0	0	0	0
TMEM272	TMEM272	0.02	0	0	0.06	0
XIRP2	XIRP2	0.01	0	0	0	0
AFM	AFM	0	0	0	0	0
IL1A	IL1A	0.79	0.85	0.79	2.73	3.16
NAA35	NAA35	8.3	8.33	7.25	1.54	1.9
ENSCSAG00000007508	HIVEP1	1.73	1.8	1.37	1.79	1.64
C19orf54	C19orf54	7.38	7.12	6.34	1.89	1.61
ENSCSAG00000006524	VBP1	20.06	20.2	16.06	3.66	4.02
CLK2	CLK2	8.22	8.05	7.19	2.54	2.52
CD33	CD33	0	0	0	0	0
ENSCSAG00000020043	NA	0	0	0	0	0
DYNLT1	DYNLT1	37.97	32.93	32.93	6.7	7.52
OSGIN2	OSGIN2	4.33	4.22	3.6	1.16	1.13
HDAC6	HDAC6	5.67	5.53	5.06	0.89	1.06
SLC49A3	SLC49A3	0.15	0.2	0.11	0.07	0.02
ENSCSAG00000022383	NA	0	0	0	0	0
PSMB8	PSMB8	8.79	9.27	8.01	2.04	1.94
NTF4	NTF4	0.03	0.1	0	0	0
CNKSR1	CNKSR1	0.18	0.25	0.24	0.22	0.12
ZNF83	ZNF83	0.09	0.1	0.07	0.02	0.03
SLC3A2	SLC3A2	6.38	7.04	6.31	3.52	3.55
ENSCSAG00000000365	NA	46.15	49.22	40.74	12.08	7.82
CD79A	CD79A	0.06	0.05	0.13	0	0.03
NKTR	NKTR	3.49	3.57	2.88	1	1.12
ENSCSAG00000017017	NA	0	0	0	0	0
ENSCSAG00000020985	NA	0	0	0	0	0
ENSCSAG00000017252	NA	0	0	0	0	0
ADAMTS10	ADAMTS10	0.32	0.36	0.32	0.13	0.1
SYPL1	SYPL1	17.62	16.88	14.03	3.01	3.48
PCK2	PCK2	13.54	13.59	11.86	4.29	4.17
NUP88	NUP88	7.14	7.08	6.28	1.75	1.82
RO60	RO60	10.81	11.4	9.61	2.68	3.39
KHDRBS3	KHDRBS3	3.6	3.06	2.99	0.47	0.69
TMEM231	TMEM231	6.51	5.25	5.03	2.28	1.56
PSMB10	PSMB10	21.04	19.79	18.81	3.82	5.14
ENSCSAG00000012670	PTGR2	4.18	4.44	3.9	0.69	0.95
SLC39A3	SLC39A3	11.23	11.01	10.1	2.17	2.43
FMN2	FMN2	0.04	0.06	0.06	0.05	0.06
PIGM	PIGM	2.58	2.47	2.1	0.57	0.68
KLHDC7A	KLHDC7A	6.29	6.22	5.27	1.6	1.53
EXOC2	EXOC2	5.87	5.97	5.3	1.65	1.72
IL5	IL5	0	0	0.06	0	0
ENSCSAG00000015841	MRPL19	23.08	21.9	19.75	5.65	4.79
PHTF2	PHTF2	3.68	3.73	3.06	0.76	0.85
ENSCSAG00000001663	NA	0	0	0	0	0
HEBP2	HEBP2	31.07	30.64	27.23	6.42	6.2
UXT	UXT	46.34	47.95	41.87	13.79	14.4
PTGFRN	PTGFRN	22.26	22.19	19.41	4.21	3.81
ENSCSAG00000005143	NA	0.3	0.41	0.38	0.11	0.11
PLXNA2	PLXNA2	0.51	0.49	0.43	0.26	0.26
TTC39B	TTC39B	1.01	1.26	0.9	0.43	0.5
SNORD114-20	SNORD114-20	0	0	0	0	0
LAPTM4A	LAPTM4A	34.54	31.39	30.33	5.2	5.15
ZNF891	ZNF891	0.78	0.9	0.8	0.15	0.18
ZNF280A	ZNF280A	0.03	0.02	0.04	0	0.02
FAM214B	FAM214B	4.63	4.76	4.18	0.99	0.93
ENSCSAG00000025225	NA	0	0	0	0	0
GUK1	GUK1	44.18	44.93	43.78	9.85	8.43
C11orf58	C11orf58	12.3	11.94	11.18	2.14	2.62
COL9A1	COL9A1	0.01	0.01	0.03	0	0
ENSCSAG00000026571	NA	0	0	0	0	0
ENSCSAG00000000176	NA	0.02	0.07	0.08	0	0
STK26	STK26	4.5	4.29	3.73	0.78	0.89
LIFR	LIFR	1.37	1.39	1.11	0.39	0.38
ENSCSAG00000002230	AC139530.2	15.61	15.89	14.6	4.1	3.88
ENSCSAG00000015384	NA	0	0	0	0	0
PRRC2B	PRRC2B	26.88	28.45	23.81	8.98	8.26
KRTAP3-1	KRTAP3-1	0	0.18	0	0	0
CP	CP	0.01	0.01	0.01	0	0
NR1I2	NR1I2	1.29	1.48	1.31	0.22	0.13
LCN10	LCN10	0	0	0.03	0	0
CHST1	CHST1	0	0	0	0	0
TSHZ3	TSHZ3	1.9	2	1.68	0.52	0.66
ARMT1	ARMT1	4.11	3.88	3.56	1.01	0.89
MC2R	MC2R	0	0	0	0	0
ENSCSAG00000000234	NA	0.34	0.08	0.46	0.21	0
PNPLA7	PNPLA7	2.39	2.27	2.12	0.61	0.71
KDELR1	KDELR1	61.76	59.69	54.74	19.36	18.16
ENSCSAG00000023718	NA	0	0	0	0	0
ENSCSAG00000017081	ATIC	19.69	20.87	16.44	5.95	6
ENSCSAG00000027916	NA	0	0	0	0	0
SIM2	SIM2	0	0	0.01	0	0
ENSCSAG00000025854	NA	0	0	0	0	0
WDR19	WDR19	4.66	4.3	3.82	0.78	0.89
EMCN	EMCN	0	0	0	0	0
DHRS13	DHRS13	11.53	11.09	10.88	4.41	3.94
NDFIP1	NDFIP1	47.28	44.55	40.9	8.24	10.61
ACP7	ACP7	0.01	0	0	0	0
ENSCSAG00000018721	NA	1.96	1.94	2.19	1.18	0.91
CUL9	CUL9	3.64	3.87	3.16	1.12	1.16
PICALM	PICALM	40.46	40.17	36.15	13.48	15.38
RPP14	RPP14	6.32	7.71	6.54	1.98	0
NCKAP1	NCKAP1	32.25	31.32	27.04	6.41	6.7
ENSCSAG00000021620	NA	0	0	0	0	0
ZFP30	ZFP30	0	0	0	0	0
ENSCSAG00000026787	NA	0	0	0	0	0
ANGPTL3	ANGPTL3	0.04	0.07	0.04	0.02	0.06
SCGB3A1	SCGB3A1	0	0	0	0	0
TDRD1	TDRD1	0	0	0	0	0
CLHC1	CLHC1	1.09	1.3	1.18	0.25	0.3
ENSCSAG00000007325	AC011511.1	6.76	6.07	4.98	2.37	1.98
KIF13A	KIF13A	3.31	3.16	2.8	1.19	1.14
LNX1	LNX1	0.02	0.01	0.01	0	0
ENSCSAG00000027240	NA	0	0	0	0	0
ENSCSAG00000008945	NDST2	4.95	4.9	4.58	1.13	1.42
ENSCSAG00000003348	NA	0.03	0.01	0	0	0
RHOJ	RHOJ	0	0	0	0.01	0.01
RCSD1	RCSD1	0	0	0	0	0
SRRT	SRRT	11.64	11.55	10.31	4.19	3.91
PTBP3	PTBP3	38.5	38.95	33.26	9.9	9.72
KCTD8	KCTD8	0	0	0	0	0
STXBP1	STXBP1	7.7	7.15	6.49	1.55	1.73
SEPTIN9	SEPTIN9	39.64	40.02	35.49	10.77	11
ENSCSAG00000022223	NA	0	0	0	0	0
ENSCSAG00000025779	NA	0	0	0	0	0
IFT140	IFT140	4.51	4.38	3.7	1.22	1.21
PTGFR	PTGFR	0.24	0.24	0.18	0.09	0.07
CDK2AP2	CDK2AP2	15.57	14.55	14.3	4.09	3.69
MSH4	MSH4	0	0	0	0	0
CCDC189	CCDC189	0.17	0.14	0.2	0.04	0.04
GYS1	GYS1	4.95	5.15	4.52	1.4	1.26
SEC31A	SEC31A	12.45	13.1	11.03	2.98	3.36
APOBEC1	APOBEC1	0	0	0	0	0
ENSCSAG00000014668	NA	0.09	0.24	0	0	0
ZNF667	ZNF667	0.66	0.67	0.53	0.16	0.15
KRTAP19-2	KRTAP19-2	0	0	0	0	0
B3GNT8	B3GNT8	0	0	0	0	0
ATG16L2	ATG16L2	2.19	2.11	1.89	0.64	0.39
SH3BP5L	SH3BP5L	5.55	5.66	4.87	2.25	1.87
NPTX1	NPTX1	3.22	2.91	2.75	1.21	1.2
TLN1	TLN1	39.04	44.95	35.9	10.73	10.66
ENSCSAG00000024407	NA	0	0	0	0	0
MYLK	MYLK	8.17	9.04	8.09	1.69	2.01
TNPO1	TNPO1	25.76	26.33	22.62	6.09	6.19
C9	C9	0	0	0	0.09	0.05
ENSCSAG00000025952	NA	0	0	0	0	0
TASOR	TASOR	7.24	7.02	6.02	1.43	1.63
ENSCSAG00000020997	NA	0	0	0	0	0
GATAD2A	GATAD2A	16.77	16.84	14.85	6.32	6.38
ALOX5	ALOX5	0	0	0.01	0	0
SNORD22	AP001160.5	0	0	0	0	0
ENSCSAG00000005809	NA	0	0	0	0	0
ENSCSAG00000026100	NA	0	0	0	0	0
XPOT	XPOT	15.13	14.88	13.12	3.55	3.94
GIMD1	GIMD1	0.06	0.15	0.12	0	0
ENSCSAG00000019539	ATP5IF1	0	0	0	0	0
SMIM4	SMIM4	1.8	1.82	1.88	0.6	0.5
ERCC5	ERCC5	16	16.03	13.78	3.58	3.49
ENSCSAG00000025949	NA	0	0	0	0	0
ERCC6	ERCC6	1.79	1.74	1.6	0.81	0.76
GFI1B	GFI1B	0	0	0	0	0
ENSCSAG00000025195	NA	0	0	0	0	0
POMC	POMC	0	0	0	0	0
GJA8	GJA8	0	0	0	0	0
KLF7	KLF7	8.72	8.71	7.73	4.14	4.85
TPRA1	TPRA1	6.4	6.02	5.69	2.12	1.93
ACKR1	ACKR1	0	0	0	0	0
TMEM126B	TMEM126B	7.87	8.42	7.07	1.26	1.47
FBXW7	FBXW7	2.36	2.61	2.04	1.32	1.33
ENSCSAG00000026338	NA	0	0	0	0	0
PUS7L	PUS7L	1.69	1.72	1.29	0.29	0.37
CAVIN3	CAVIN3	0	0	0	0	0
GAPVD1	GAPVD1	5.12	5.49	4.71	1.79	1.92
ENSCSAG00000021399	AL078581.1	0	0	0	0	0
ENSCSAG00000019979	NA	0	0	0	0	0
GCSH	GCSH	20.44	20.54	19.02	3.91	3.37
E4F1	E4F1	3.75	3.6	3.39	1.48	1.6
XYLT2	XYLT2	13	12.81	11.48	3.35	3.15
ENSCSAG00000019674	NA	0	0	0	0	0
ZNF444	ZNF444	6.12	6.02	5.93	1.27	1.27
SULT2A1	SULT2A1	0	0	0	0	0
ENSCSAG00000023860	NA	0	0	0	0	0
KRT74	KRT74	0	0	0	0	0
DMAC2L	DMAC2L	4.48	4.2	3.66	0.33	1.28
PLD3	PLD3	24.02	22.61	21.21	4.88	4.08
ENSCSAG00000024892	NA	0	0	0	0	0
OXSR1	OXSR1	10.02	10.68	9.44	2.73	2.9
BCAR3	BCAR3	3.3	3.34	2.86	1.75	1.84
LARGE2	LARGE2	0.17	0.12	0.09	0.02	0.04
PPP2R5A	PPP2R5A	5.77	5.56	5.33	1.41	1.29
GRP	GRP	0	0	0	0	0
IMMT	IMMT	32	31.43	28.38	6.74	7.49
XAB2	XAB2	9.42	9.25	8.71	3.03	3.1
EIF1B	EIF1B	13.52	11.86	11.72	3.98	4.55
PTPA	PTPA	18.13	17.08	15.13	4.22	3.5
POC1A	POC1A	5.4	5.56	5.22	2.45	2.42
HHIP	HHIP	0.01	0	0	0	0
MIR2113	MIR2113	0	0	0	0	0
ENSCSAG00000022962	NA	0	0	0	0	0
ENSCSAG00000026348	NA	0	0	0	0	0
BCL2A1	BCL2A1	0.02	0	0	0	0
FMO4	FMO4	1.71	1.6	1.56	0.25	0.19
AGRP	AGRP	0	0	0.06	0	0
NME2	NME2	313.47	309.72	306.4	111.68	111.18
KBTBD8	KBTBD8	0.26	0.25	0.23	0.11	0.11
EBNA1BP2	EBNA1BP2	14.69	14.72	12.86	3.83	3.39
GLOD4	GLOD4	24.83	23.59	21.64	4.73	5.59
FAM20C	FAM20C	12.95	12.12	11.5	4.51	3.6
EDRF1	EDRF1	1.58	1.33	1.25	0.26	0.39
ENSCSAG00000026674	NA	0	0	0	0	0
RUNX1T1	RUNX1T1	4.7	5.51	5.03	1.86	1.8
LHFPL5	LHFPL5	0.16	0.23	0.14	0	0
ADAMTSL5	ADAMTSL5	7.82	7.95	7.2	2.3	1.96
RAP2B	RAP2B	18.59	18.71	16.76	5.43	4.39
ENSCSAG00000020492	AC099331.1	0	0	0	0	0
ENSCSAG00000019500	ZXDA	0.02	0.1	0.1	0	0
ITPA	ITPA	15.81	16.38	14.96	3.07	4.33
TEX43	TEX43	0	0	0	0	0
ENSCSAG00000015525	PRKY	3.79	3.68	2.84	0.7	0.97
ENSCSAG00000009235	IGHV3-49	0	0	0	0	0
ENSCSAG00000016973	DEFB104B	0	0	0	0	0
STXBP2	STXBP2	29.62	30.34	29.34	6.57	5.99
TIPARP	TIPARP	5.96	5.96	5.3	7.34	8.7
CYB561A3	CYB561A3	20.3	20.46	19.2	2.69	2.68
GRIP1	GRIP1	0.64	0.59	0.52	0.15	0.13
ENSCSAG00000007578	PRSS3	0	0	0	0	0
PRR33	PRR33	0	0.03	0	0	0.03
RASSF10	RASSF10	0	0	0	0	0.02
LRP4	LRP4	3.31	3.46	2.92	3.11	3.24
FEZF1	FEZF1	0.2	0.16	0.2	0.12	0
ENSCSAG00000016031	NA	0	0	0	0	0
C6orf62	C6orf62	62.92	61.02	53	12.78	13.53
BACE2	BACE2	12.87	11.36	10.76	5.57	6.18
ENSCSAG00000015394	AC010132.3	45.75	45.18	41.12	6.34	7.39
NOXO1	NOXO1	1.08	0.83	1.05	0.23	0.32
ENSCSAG00000023341	NA	0	0	0	0	0
RNF212	RNF212	0.06	0.08	0.08	0	0
GALM	GALM	3.02	3.05	2.88	0.42	0.44
ENSCSAG00000027961	AC009408.2	0	0	0	0	0
TAS2R10	TAS2R10	0	0	0	0	0
ENSCSAG00000019835	AC083867.1	0	0	0	0	0
ENSCSAG00000021350	NA	0	0	0	0	0
FITM1	FITM1	0.08	0.1	0.11	0.03	0
ENSCSAG00000023271	NA	0	0	0	0	0
