gene	logFC	p_val	pval_adj	cell
LTBP1	1.09	1.58E-36	4.20E-32	Fibromyocyte
ASPN	1.16	4.45E-36	1.18E-31	Fibromyocyte
PRUNE2	0.82	1.28E-34	3.40E-30	Fibromyocyte
H2AFZ	1.03	4.47E-34	1.18E-29	Fibromyocyte
DES	1.3	5.63E-33	1.49E-28	Fibromyocyte
CDH2	0.66	6.94E-33	1.84E-28	Fibromyocyte
CSRP1	0.87	1.40E-31	3.71E-27	Fibromyocyte
CRYAB	1.09	1.61E-31	4.27E-27	Fibromyocyte
ATP1B1	0.93	8.28E-30	2.19E-25	Fibromyocyte
NDUFA4	0.81	3.85E-27	1.02E-22	Fibromyocyte
FAM150A	0.9	1.85E-26	4.91E-22	Fibromyocyte
MYH11	0.76	2.96E-25	7.84E-21	Fibromyocyte
ANGPTL1	0.89	3.38E-25	8.95E-21	Fibromyocyte
ACTA2	0.78	3.79E-25	1.00E-20	Fibromyocyte
TNC	0.86	2.03E-24	5.36E-20	Fibromyocyte
SEMA3C	0.72	2.52E-23	6.68E-19	Fibromyocyte
RCAN1	1.18	4.45E-23	1.18E-18	Fibromyocyte
PSTPIP1	0.64	5.99E-23	1.59E-18	Fibromyocyte
PDLIM7	0.8	7.72E-23	2.04E-18	Fibromyocyte
COL23A1	0.53	3.87E-22	1.02E-17	Fibromyocyte
C9orf3	0.74	1.28E-21	3.39E-17	Fibromyocyte
SVIL	0.87	3.30E-21	8.75E-17	Fibromyocyte
DKK3	0.85	5.36E-21	1.42E-16	Fibromyocyte
CD82	0.71	1.22E-20	3.24E-16	Fibromyocyte
FNDC1	0.64	1.24E-20	3.29E-16	Fibromyocyte
P3H2	0.5	2.27E-20	6.01E-16	Fibromyocyte
HHIP-AS1	0.55	3.22E-20	8.52E-16	Fibromyocyte
BDNF	0.66	3.97E-20	1.05E-15	Fibromyocyte
HSPB1	0.66	4.64E-20	1.23E-15	Fibromyocyte
SPARCL1	0.62	7.27E-20	1.93E-15	Fibromyocyte
VWA1	0.78	8.39E-20	2.22E-15	Fibromyocyte
GEM	0.92	9.62E-20	2.55E-15	Fibromyocyte
COL16A1	0.71	1.06E-19	2.82E-15	Fibromyocyte
PAMR1	0.85	1.49E-19	3.96E-15	Fibromyocyte
HHIP	0.58	2.32E-19	6.15E-15	Fibromyocyte
GALNT18	0.66	3.23E-19	8.56E-15	Fibromyocyte
ALDH1B1	0.79	4.71E-19	1.25E-14	Fibromyocyte
LHFPL2	0.59	9.87E-19	2.61E-14	Fibromyocyte
SEMA3E	0.5	4.42E-18	1.17E-13	Fibromyocyte
ASB2	0.5	4.68E-18	1.24E-13	Fibromyocyte
CTSB	0.72	7.57E-18	2.00E-13	Fibromyocyte
MT1X	0.31	7.78E-18	2.06E-13	Fibromyocyte
SLITRK6	0.58	1.17E-17	3.10E-13	Fibromyocyte
PCDH11X	0.4	1.36E-17	3.59E-13	Fibromyocyte
CYSLTR1	0.58	2.94E-17	7.78E-13	Fibromyocyte
CLDN1	0.46	5.08E-17	1.35E-12	Fibromyocyte
FHL1	0.64	5.39E-17	1.43E-12	Fibromyocyte
TAGLN	0.54	1.30E-16	3.44E-12	Fibromyocyte
BEX2	0.48	2.06E-16	5.47E-12	Fibromyocyte
PCSK1N	0.72	3.53E-16	9.35E-12	Fibromyocyte
SPEG	0.66	4.96E-16	1.31E-11	Fibromyocyte
PLXNA4	0.37	7.66E-16	2.03E-11	Fibromyocyte
TGFBR3	0.66	1.35E-15	3.57E-11	Fibromyocyte
LINC00578	0.36	1.80E-15	4.77E-11	Fibromyocyte
HPSE2	0.43	2.22E-15	5.88E-11	Fibromyocyte
TSC22D1	0.78	2.72E-15	7.21E-11	Fibromyocyte
TSPAN2	0.65	3.28E-15	8.69E-11	Fibromyocyte
CST5	0.41	3.30E-15	8.74E-11	Fibromyocyte
LDLRAD4	0.55	3.56E-15	9.44E-11	Fibromyocyte
AQP1	0.61	6.09E-15	1.61E-10	Fibromyocyte
MET	0.36	7.41E-15	1.96E-10	Fibromyocyte
CNN3	0.53	8.74E-15	2.31E-10	Fibromyocyte
TBXA2R	0.54	1.14E-14	3.02E-10	Fibromyocyte
COX7C	0.57	1.17E-14	3.09E-10	Fibromyocyte
BTG2	0.83	1.48E-14	3.91E-10	Fibromyocyte
CTGF	0.9	1.68E-14	4.46E-10	Fibromyocyte
SERPINE2	0.64	1.73E-14	4.58E-10	Fibromyocyte
GAPDH	0.46	1.86E-14	4.94E-10	Fibromyocyte
TCEAL2	0.61	2.20E-14	5.83E-10	Fibromyocyte
ID2	0.64	2.51E-14	6.65E-10	Fibromyocyte
RAB38	0.44	4.55E-14	1.21E-09	Fibromyocyte
SSC5D	0.61	5.36E-14	1.42E-09	Fibromyocyte
1-Mar	0.34	6.56E-14	1.74E-09	Fibromyocyte
C16orf89	0.51	1.08E-13	2.85E-09	Fibromyocyte
ACTB	0.48	1.44E-13	3.82E-09	Fibromyocyte
GATA5	0.54	1.49E-13	3.94E-09	Fibromyocyte
RTN4	0.49	2.56E-13	6.78E-09	Fibromyocyte
PDGFC	0.48	3.35E-13	8.86E-09	Fibromyocyte
SMTN	0.66	4.34E-13	1.15E-08	Fibromyocyte
ZNF385D	0.39	5.71E-13	1.51E-08	Fibromyocyte
ARL4A	0.62	7.09E-13	1.88E-08	Fibromyocyte
ATP1A2	0.49	9.37E-13	2.48E-08	Fibromyocyte
IL21R	0.35	1.45E-12	3.84E-08	Fibromyocyte
GLIPR1	0.49	3.11E-12	8.24E-08	Fibromyocyte
ANO1	0.54	3.72E-12	9.85E-08	Fibromyocyte
ENTPD1	0.6	3.99E-12	1.06E-07	Fibromyocyte
TACC2	0.49	8.95E-12	2.37E-07	Fibromyocyte
LMOD1	0.46	9.50E-12	2.52E-07	Fibromyocyte
LDOC1	0.54	1.16E-11	3.07E-07	Fibromyocyte
FILIP1L	0.63	1.48E-11	3.93E-07	Fibromyocyte
CNTFR	0.39	1.59E-11	4.22E-07	Fibromyocyte
TUBB2B	0.55	1.77E-11	4.69E-07	Fibromyocyte
BMPER	0.42	1.96E-11	5.20E-07	Fibromyocyte
HSPB7	0.58	2.33E-11	6.16E-07	Fibromyocyte
PDLIM3	0.6	2.45E-11	6.48E-07	Fibromyocyte
ADAMTS6	0.28	3.61E-11	9.57E-07	Fibromyocyte
CRELD1	0.46	3.79E-11	1.00E-06	Fibromyocyte
MYOCD	0.41	4.06E-11	1.07E-06	Fibromyocyte
ISM1	0.46	5.11E-11	1.35E-06	Fibromyocyte
STARD10	0.5	5.24E-11	1.39E-06	Fibromyocyte
TUBB2A	0.59	5.42E-11	1.44E-06	Fibromyocyte
PCDH7	0.49	5.62E-11	1.49E-06	Fibromyocyte
LPP	0.47	1.50E-10	3.97E-06	Fibromyocyte
TGFBR1	0.51	1.79E-10	4.74E-06	Fibromyocyte
PRIMA1	0.33	1.89E-10	4.99E-06	Fibromyocyte
FLNA	0.46	1.95E-10	5.17E-06	Fibromyocyte
FNBP1	0.61	2.09E-10	5.53E-06	Fibromyocyte
NR4A1	0.71	3.19E-10	8.45E-06	Fibromyocyte
ADAMTS1	0.71	3.34E-10	8.84E-06	Fibromyocyte
CXXC5	0.39	3.73E-10	9.88E-06	Fibromyocyte
TCEA3	0.47	3.82E-10	1.01E-05	Fibromyocyte
ZFYVE21	0.49	3.97E-10	1.05E-05	Fibromyocyte
STK38L	0.45	4.89E-10	1.30E-05	Fibromyocyte
ADAM19	0.42	5.10E-10	1.35E-05	Fibromyocyte
TMEM255A	0.26	6.41E-10	1.70E-05	Fibromyocyte
TSPAN15	0.33	8.23E-10	2.18E-05	Fibromyocyte
PLS3	0.47	8.92E-10	2.36E-05	Fibromyocyte
XIST	0.33	1.09E-09	2.89E-05	Fibromyocyte
MASP1	0.45	1.22E-09	3.24E-05	Fibromyocyte
DSTN	0.25	1.33E-09	3.52E-05	Fibromyocyte
PHGDH	0.48	1.34E-09	3.55E-05	Fibromyocyte
LEFTY2	0.58	1.48E-09	3.92E-05	Fibromyocyte
FAM83D	0.51	1.58E-09	4.20E-05	Fibromyocyte
PRELP	0.59	1.97E-09	5.21E-05	Fibromyocyte
MEG3	0.52	2.19E-09	5.79E-05	Fibromyocyte
CRIP2	0.36	2.64E-09	7.00E-05	Fibromyocyte
GFRA1	0.53	2.69E-09	7.13E-05	Fibromyocyte
TSPAN18	0.28	3.02E-09	8.00E-05	Fibromyocyte
CES1	0.32	3.30E-09	8.75E-05	Fibromyocyte
IRS1	0.51	3.38E-09	8.96E-05	Fibromyocyte
MRPS6	0.44	3.57E-09	9.46E-05	Fibromyocyte
NR4A2	0.54	4.79E-09	0.000126901	Fibromyocyte
ITGA10	0.36	4.96E-09	0.000131305	Fibromyocyte
SLN	0.61	5.85E-09	0.000154839	Fibromyocyte
ANGPTL2	0.51	7.10E-09	0.000187998	Fibromyocyte
AVPI1	0.55	7.41E-09	0.000196314	Fibromyocyte
LRIG1	0.38	7.77E-09	0.000205677	Fibromyocyte
PCBD1	0.44	7.90E-09	0.000209122	Fibromyocyte
NCAM1	0.3	8.13E-09	0.0002153	Fibromyocyte
ROR1	0.37	8.42E-09	0.000223055	Fibromyocyte
BAG2	0.62	8.57E-09	0.000227058	Fibromyocyte
PDLIM4	0.5	8.89E-09	0.000235433	Fibromyocyte
HSPB8	0.45	1.15E-08	0.000303798	Fibromyocyte
IGF1	0.41	1.20E-08	0.000318008	Fibromyocyte
RASL12	0.36	1.37E-08	0.00036293	Fibromyocyte
TNFRSF12A	0.71	1.63E-08	0.000431874	Fibromyocyte
PBXIP1	0.56	1.80E-08	0.000477261	Fibromyocyte
GPR155	0.44	2.55E-08	0.00067408	Fibromyocyte
LUZP2	0.26	2.56E-08	0.000677798	Fibromyocyte
CRY2	0.42	2.62E-08	0.000692894	Fibromyocyte
MYEF2	0.3	2.63E-08	0.000697813	Fibromyocyte
CD200	0.38	2.92E-08	0.000772745	Fibromyocyte
NDUFS5	0.42	2.99E-08	0.000791474	Fibromyocyte
ITPRIP	0.44	3.77E-08	0.000999604	Fibromyocyte
LTBP3	0.4	4.14E-08	0.001097277	Fibromyocyte
DUSP2	0.48	4.24E-08	0.001124077	Fibromyocyte
LINC01436	0.26	4.57E-08	0.001211572	Fibromyocyte
CACNB2	0.33	4.84E-08	0.001281497	Fibromyocyte
NDUFB6	0.28	5.55E-08	0.001470031	Fibromyocyte
TLE2	0.38	5.68E-08	0.001505589	Fibromyocyte
TGFBI	0.64	6.44E-08	0.001705539	Fibromyocyte
RHOB	0.43	6.63E-08	0.00175632	Fibromyocyte
BOC	0.41	6.74E-08	0.001784322	Fibromyocyte
ACTN1	0.47	6.78E-08	0.001795263	Fibromyocyte
C8orf4	0.49	6.87E-08	0.001820765	Fibromyocyte
TUBA1A	0.46	7.16E-08	0.001895724	Fibromyocyte
SLC1A4	0.31	7.17E-08	0.001900148	Fibromyocyte
NFIC	0.45	7.41E-08	0.001963104	Fibromyocyte
LXN	0.42	7.76E-08	0.002054801	Fibromyocyte
PFKM	0.36	7.98E-08	0.00211318	Fibromyocyte
KCNMA1	0.26	1.09E-07	0.002890797	Fibromyocyte
MSRB2	0.47	1.14E-07	0.003024739	Fibromyocyte
NSMCE4A	0.32	1.15E-07	0.003038573	Fibromyocyte
MYL6	0.27	1.51E-07	0.004006481	Fibromyocyte
AEBP1	0.41	1.54E-07	0.004087948	Fibromyocyte
TUBA4A	0.28	1.59E-07	0.004211621	Fibromyocyte
ADAMTS8	0.46	1.68E-07	0.004457929	Fibromyocyte
NRG1	0.3	1.93E-07	0.005100722	Fibromyocyte
SELM	0.27	2.06E-07	0.005443394	Fibromyocyte
BTC	0.26	2.09E-07	0.005524175	Fibromyocyte
NDUFB9	0.35	2.10E-07	0.005574821	Fibromyocyte
RGS9	0.26	2.28E-07	0.006046634	Fibromyocyte
GNG2	0.29	2.28E-07	0.006050611	Fibromyocyte
TMEM14A	0.4	2.35E-07	0.006219845	Fibromyocyte
ATP6V1H	0.35	2.40E-07	0.006360668	Fibromyocyte
COX8A	0.36	2.44E-07	0.00646553	Fibromyocyte
FSTL3	0.36	2.58E-07	0.006827128	Fibromyocyte
NTN1	0.3	2.77E-07	0.007348647	Fibromyocyte
COL15A1	0.41	2.88E-07	0.007625276	Fibromyocyte
FAM129A	0.26	4.22E-07	0.011183246	Fibromyocyte
ESD	0.31	5.14E-07	0.013606759	Fibromyocyte
GOT2	0.27	5.17E-07	0.013699526	Fibromyocyte
C3orf70	0.34	5.66E-07	0.014990491	Fibromyocyte
DIXDC1	0.36	6.52E-07	0.017264679	Fibromyocyte
ILK	0.41	7.63E-07	0.02021028	Fibromyocyte
PHLDA3	0.42	7.73E-07	0.02046773	Fibromyocyte
MBNL1-AS1	0.39	8.35E-07	0.022116016	Fibromyocyte
GABARAPL2	0.4	8.81E-07	0.023332953	Fibromyocyte
CDC42EP3	0.43	8.89E-07	0.02353968	Fibromyocyte
SGCA	0.39	9.57E-07	0.025356047	Fibromyocyte
DUSP26	0.25	1.02E-06	0.02701524	Fibromyocyte
FMNL2	0.28	1.04E-06	0.027490944	Fibromyocyte
ARMCX1	0.35	1.16E-06	0.030779856	Fibromyocyte
NEDD9	0.37	1.27E-06	0.033741445	Fibromyocyte
SYNC	0.31	1.29E-06	0.034147693	Fibromyocyte
PLSCR4	0.39	1.32E-06	0.034857587	Fibromyocyte
WFS1	0.37	1.34E-06	0.035582996	Fibromyocyte
RAB23	0.34	1.43E-06	0.037950133	Fibromyocyte
DDAH2	0.39	1.46E-06	0.038690083	Fibromyocyte
CD151	0.35	1.47E-06	0.039028999	Fibromyocyte
PIK3IP1	0.3	1.50E-06	0.039844558	Fibromyocyte
PPAP2A	0.33	1.55E-06	0.041107349	Fibromyocyte
CRISPLD1	0.29	1.67E-06	0.04421091	Fibromyocyte
C14orf1	0.37	1.70E-06	0.045049048	Fibromyocyte
HIF1A	0.49	1.73E-06	0.045693143	Fibromyocyte
UBAC2	0.34	2.00E-06	0.053049624	Fibromyocyte
C7orf50	0.3	2.13E-06	0.056485771	Fibromyocyte
NDUFB4	0.4	2.34E-06	0.06210182	Fibromyocyte
TBX3	0.29	2.36E-06	0.062420071	Fibromyocyte
BRINP3	0.28	2.49E-06	0.065874904	Fibromyocyte
CFL2	0.39	2.56E-06	0.067686135	Fibromyocyte
UQCRC1	0.37	2.61E-06	0.069061653	Fibromyocyte
HOPX	0.52	2.68E-06	0.071059072	Fibromyocyte
ARL6IP5	0.38	3.06E-06	0.081102473	Fibromyocyte
ALDOA	0.29	3.22E-06	0.085228682	Fibromyocyte
ROBO1	0.29	3.35E-06	0.088603078	Fibromyocyte
NDUFA8	0.39	4.07E-06	0.107666244	Fibromyocyte
MTMR11	0.25	4.38E-06	0.116000683	Fibromyocyte
MAGED2	0.38	4.49E-06	0.118907893	Fibromyocyte
RFX1	0.28	4.63E-06	0.122615897	Fibromyocyte
WNT5A	0.3	4.92E-06	0.130432428	Fibromyocyte
ACTR10	0.29	5.01E-06	0.132671684	Fibromyocyte
PRNP	0.39	5.32E-06	0.140888237	Fibromyocyte
PCGF2	0.27	5.53E-06	0.146473025	Fibromyocyte
GBP2	0.33	6.43E-06	0.170391643	Fibromyocyte
SBDSP1	0.38	6.48E-06	0.171517866	Fibromyocyte
TERF1	0.33	6.49E-06	0.17186741	Fibromyocyte
RAB32	0.41	6.71E-06	0.177837991	Fibromyocyte
PRDX4	0.35	6.89E-06	0.182565572	Fibromyocyte
ATP5G3	0.31	6.97E-06	0.184583311	Fibromyocyte
FENDRR	0.27	7.04E-06	0.186335954	Fibromyocyte
ADSS	0.27	7.28E-06	0.19280349	Fibromyocyte
SLC25A4	0.29	7.99E-06	0.211673843	Fibromyocyte
FAH	0.27	8.87E-06	0.234883282	Fibromyocyte
EIF5A	0.32	8.98E-06	0.237724029	Fibromyocyte
PLP2	0.31	9.24E-06	0.244784538	Fibromyocyte
PRDM6	0.37	9.75E-06	0.258262802	Fibromyocyte
EIF4A2	0.28	9.84E-06	0.260652465	Fibromyocyte
TP53I13	0.3	1.07E-05	0.284193319	Fibromyocyte
MRVI1	0.26	1.09E-05	0.288326567	Fibromyocyte
TCEAL4	0.42	1.14E-05	0.302791671	Fibromyocyte
FKBP3	0.3	1.25E-05	0.331619544	Fibromyocyte
MANBAL	0.32	1.61E-05	0.427606685	Fibromyocyte
PKM	0.33	1.70E-05	0.451331056	Fibromyocyte
ATP5A1	0.28	1.75E-05	0.462907272	Fibromyocyte
NINJ1	0.34	1.87E-05	0.496497205	Fibromyocyte
CIRBP	0.27	1.90E-05	0.501960428	Fibromyocyte
ATPAF1	0.27	2.03E-05	0.538061738	Fibromyocyte
FAM13C	0.27	2.09E-05	0.55329577	Fibromyocyte
CORO1C	0.37	2.27E-05	0.602403593	Fibromyocyte
MUT	0.27	2.42E-05	0.63986479	Fibromyocyte
NUP93	0.33	2.54E-05	0.672818764	Fibromyocyte
RNF216	0.33	2.56E-05	0.678279304	Fibromyocyte
HBEGF	0.36	2.57E-05	0.680192914	Fibromyocyte
MTA1	0.28	2.65E-05	0.701273634	Fibromyocyte
SOD1	0.33	2.69E-05	0.712192252	Fibromyocyte
CPQ	0.36	2.74E-05	0.724628597	Fibromyocyte
CLCF1	0.25	2.89E-05	0.764791416	Fibromyocyte
TGFB1I1	0.26	2.92E-05	0.773623747	Fibromyocyte
NDUFB7	0.3	2.99E-05	0.790732554	Fibromyocyte
IVNS1ABP	0.32	3.11E-05	0.823637143	Fibromyocyte
LOXL1	0.32	3.40E-05	0.900511324	Fibromyocyte
TMOD1	0.31	3.47E-05	0.918913223	Fibromyocyte
ATP5O	0.33	3.51E-05	0.92910216	Fibromyocyte
HSPB3	0.33	3.52E-05	0.933172857	Fibromyocyte
MBNL1	0.35	3.55E-05	0.939694133	Fibromyocyte
MEIS1	0.38	3.70E-05	0.980865403	Fibromyocyte
EIF3K	0.28	3.80E-05	1	Fibromyocyte
SNHG5	0.26	4.02E-05	1	Fibromyocyte
SEMA3D	0.26	4.23E-05	1	Fibromyocyte
STMN1	0.42	4.49E-05	1	Fibromyocyte
GOLIM4	0.3	4.66E-05	1	Fibromyocyte
MDH1	0.26	5.02E-05	1	Fibromyocyte
LMNA	0.26	5.42E-05	1	Fibromyocyte
SNRNP25	0.27	5.44E-05	1	Fibromyocyte
ATP5C1	0.33	5.71E-05	1	Fibromyocyte
HERC2	0.27	6.13E-05	1	Fibromyocyte
AKAP1	0.26	6.18E-05	1	Fibromyocyte
TEX30	0.29	6.42E-05	1	Fibromyocyte
DIRAS3	0.28	6.57E-05	1	Fibromyocyte
FDPS	0.3	7.21E-05	1	Fibromyocyte
HOXB-AS3	0.38	7.68E-05	1	Fibromyocyte
MRPL54	0.29	8.20E-05	1	Fibromyocyte
COX5B	0.35	8.95E-05	1	Fibromyocyte
CCDC106	0.26	9.70E-05	1	Fibromyocyte
HOXB6	0.3	0.000101841	1	Fibromyocyte
SBDS	0.31	0.000103168	1	Fibromyocyte
PKIG	0.38	0.000114292	1	Fibromyocyte
SH3BGR	0.26	0.000119107	1	Fibromyocyte
ATP5G2	0.29	0.000119608	1	Fibromyocyte
ANAPC7	0.33	0.000121297	1	Fibromyocyte
LRP5	0.27	0.00012211	1	Fibromyocyte
CLIC4	0.31	0.000130952	1	Fibromyocyte
NUPR1	0.26	0.00013271	1	Fibromyocyte
FUCA1	0.28	0.000136852	1	Fibromyocyte
FAM162A	0.28	0.000136945	1	Fibromyocyte
PRDX2	0.32	0.000142103	1	Fibromyocyte
SLMAP	0.35	0.000146828	1	Fibromyocyte
VAPA	0.26	0.000155342	1	Fibromyocyte
DAPK3	0.26	0.000171134	1	Fibromyocyte
KLF10	0.46	0.000178774	1	Fibromyocyte
HEBP1	0.32	0.000184837	1	Fibromyocyte
WEE1	0.35	0.000190207	1	Fibromyocyte
SOCS1	0.43	0.000194865	1	Fibromyocyte
ACAT1	0.28	0.000207472	1	Fibromyocyte
CST3	0.29	0.000229163	1	Fibromyocyte
CREB5	0.28	0.000245264	1	Fibromyocyte
FH	0.29	0.000246253	1	Fibromyocyte
MXI1	0.26	0.000258665	1	Fibromyocyte
VDAC2	0.28	0.000267434	1	Fibromyocyte
NAAA	0.28	0.000288095	1	Fibromyocyte
USMG5	0.28	0.000292611	1	Fibromyocyte
CALCOCO2	0.34	0.000297517	1	Fibromyocyte
GADD45A	0.51	0.000299901	1	Fibromyocyte
RHEB	0.26	0.000304689	1	Fibromyocyte
ARHGEF2	0.28	0.000315844	1	Fibromyocyte
RPS21	0.32	0.000325567	1	Fibromyocyte
PYGB	0.3	0.000331013	1	Fibromyocyte
COMMD3	0.26	0.000338125	1	Fibromyocyte
PGM5	0.28	0.000359675	1	Fibromyocyte
ETFB	0.33	0.000368719	1	Fibromyocyte
PEF1	0.33	0.000385014	1	Fibromyocyte
MRPL49	0.25	0.000399997	1	Fibromyocyte
SAMD11	0.3	0.000434088	1	Fibromyocyte
THSD4	0.28	0.000459878	1	Fibromyocyte
COX7B	0.26	0.000479537	1	Fibromyocyte
ALDOC	0.28	0.000494579	1	Fibromyocyte
SLC16A9	0.3	0.000502846	1	Fibromyocyte
ENO2	0.25	0.000562048	1	Fibromyocyte
TMUB1	0.28	0.000565291	1	Fibromyocyte
MZT2B	0.25	0.000641266	1	Fibromyocyte
GADD45B	0.68	0.000663334	1	Fibromyocyte
IL13RA1	0.27	0.000846821	1	Fibromyocyte
TMEM245	0.29	0.000855327	1	Fibromyocyte
DDIT3	0.29	0.000860369	1	Fibromyocyte
MAST4	0.27	0.000870242	1	Fibromyocyte
SMAD3	0.27	0.000876007	1	Fibromyocyte
NDUFC2	0.26	0.000903555	1	Fibromyocyte
FOXP1	0.29	0.000935473	1	Fibromyocyte
MRPL55	0.29	0.000999604	1	Fibromyocyte
SYNE1	0.26	0.00101822	1	Fibromyocyte
MAPK1IP1L	0.27	0.001028373	1	Fibromyocyte
RHOC	0.29	0.001030608	1	Fibromyocyte
SDHB	0.28	0.001043036	1	Fibromyocyte
HYI	0.29	0.001105851	1	Fibromyocyte
MAPKAP1	0.28	0.001125005	1	Fibromyocyte
CSRNP1	0.36	0.001141388	1	Fibromyocyte
NOSIP	0.29	0.00123554	1	Fibromyocyte
SYNGR2	0.28	0.001417578	1	Fibromyocyte
PMEPA1	0.25	0.001420727	1	Fibromyocyte
TMEM159	0.28	0.001435601	1	Fibromyocyte
RNF5	0.29	0.001477945	1	Fibromyocyte
NAT14	0.28	0.00168646	1	Fibromyocyte
PER1	0.27	0.001689828	1	Fibromyocyte
COX6C	0.25	0.001691216	1	Fibromyocyte
ESYT2	0.31	0.001745629	1	Fibromyocyte
DYNC2LI1	0.26	0.002338615	1	Fibromyocyte
OSBPL9	0.31	0.002384368	1	Fibromyocyte
TMED4	0.31	0.002923376	1	Fibromyocyte
PTK7	0.27	0.003012535	1	Fibromyocyte
PDZRN3	0.27	0.003015779	1	Fibromyocyte
PKD2	0.25	0.003287014	1	Fibromyocyte
SF3B6	0.26	0.003444953	1	Fibromyocyte
SUCLA2	0.27	0.003453593	1	Fibromyocyte
FGF14	0.27	0.003480699	1	Fibromyocyte
BLVRB	0.27	0.003542183	1	Fibromyocyte
VCAN	0.26	0.004721548	1	Fibromyocyte
KLF6	0.36	0.00493083	1	Fibromyocyte
CAPRIN1	0.26	0.005335069	1	Fibromyocyte
CADM3	0.26	0.005622812	1	Fibromyocyte
LNP1	0.26	0.006304914	1	Fibromyocyte
ITGA5	0.28	0.006394979	1	Fibromyocyte
DBN1	0.26	0.006605121	1	Fibromyocyte
PRKG1	0.26	0.006699407	1	Fibromyocyte
CCDC85B	0.25	0.008207949	1	Fibromyocyte
FBXO32	0.34	0.010712709	1	Fibromyocyte
FNTA	0.26	0.011620196	1	Fibromyocyte
EGR1	0.31	0.012402714	1	Fibromyocyte
SFTPA1	0.26	0.016110973	1	Fibromyocyte
SGCB	0.27	0.019485602	1	Fibromyocyte
ARID5A	0.3	0.021725182	1	Fibromyocyte
CHMP1B	0.25	0.027772169	1	Fibromyocyte
TMEM47	0.28	0.073658855	1	Fibromyocyte
RASD1	0.69	0.133957493	1	Fibromyocyte
ZNF331	0.25	0.319195721	1	Fibromyocyte
GADD45G	0.34	0.685930763	1	Fibromyocyte
FBLN1	2.39	0	0	Adventitial Fibroblast
SERPINF1	2.14	2.45E-284	6.50E-280	Adventitial Fibroblast
CCDC80	2.37	4.52E-253	1.20E-248	Adventitial Fibroblast
DCN	1.67	9.43E-248	2.50E-243	Adventitial Fibroblast
CFD	2.22	2.28E-223	6.05E-219	Adventitial Fibroblast
C3	1.72	9.61E-223	2.55E-218	Adventitial Fibroblast
FBLN2	1.49	4.07E-205	1.08E-200	Adventitial Fibroblast
IGFBP6	2.49	9.58E-204	2.54E-199	Adventitial Fibroblast
SFRP2	3.16	1.41E-194	3.72E-190	Adventitial Fibroblast
GSN	1.6	3.06E-187	8.11E-183	Adventitial Fibroblast
C1R	1.27	2.18E-182	5.77E-178	Adventitial Fibroblast
PI16	1.65	8.34E-174	2.21E-169	Adventitial Fibroblast
MFAP5	2.41	1.89E-170	4.99E-166	Adventitial Fibroblast
NNMT	1.52	4.30E-166	1.14E-161	Adventitial Fibroblast
LUM	0.91	1.60E-158	4.23E-154	Adventitial Fibroblast
LINC01279	1.17	1.13E-155	2.99E-151	Adventitial Fibroblast
KLF4	1.48	6.29E-151	1.66E-146	Adventitial Fibroblast
C1S	1.03	7.65E-150	2.03E-145	Adventitial Fibroblast
GPNMB	1.27	3.17E-147	8.39E-143	Adventitial Fibroblast
C1QTNF3	1.32	1.51E-142	3.99E-138	Adventitial Fibroblast
C7	1.65	1.38E-137	3.66E-133	Adventitial Fibroblast
APOD	1.72	1.00E-136	2.66E-132	Adventitial Fibroblast
SCARA5	0.92	3.73E-135	9.89E-131	Adventitial Fibroblast
LEPR	1.03	3.15E-134	8.35E-130	Adventitial Fibroblast
OMD	1.09	1.56E-132	4.14E-128	Adventitial Fibroblast
SOCS3	1.41	2.81E-124	7.45E-120	Adventitial Fibroblast
MYC	1.23	5.34E-124	1.41E-119	Adventitial Fibroblast
PDGFRL	1.1	1.17E-121	3.10E-117	Adventitial Fibroblast
MGST1	1.08	6.90E-121	1.83E-116	Adventitial Fibroblast
FGF7	1.08	1.22E-117	3.22E-113	Adventitial Fibroblast
SERPINA3	1.21	2.61E-116	6.91E-112	Adventitial Fibroblast
PTGIS	0.9	1.79E-115	4.75E-111	Adventitial Fibroblast
OGN	1.21	2.97E-115	7.86E-111	Adventitial Fibroblast
SFRP4	2.73	3.87E-112	1.03E-107	Adventitial Fibroblast
CHRDL1	0.93	1.49E-111	3.94E-107	Adventitial Fibroblast
NR4A1	1.27	3.88E-111	1.03E-106	Adventitial Fibroblast
UAP1	1.32	2.76E-109	7.30E-105	Adventitial Fibroblast
MMP2	0.78	3.34E-107	8.85E-103	Adventitial Fibroblast
MEG3	1.34	1.27E-104	3.35E-100	Adventitial Fibroblast
PCOLCE2	1.26	7.21E-103	1.91E-98	Adventitial Fibroblast
MEDAG	1.24	1.12E-102	2.97E-98	Adventitial Fibroblast
EMP1	1.19	2.00E-101	5.29E-97	Adventitial Fibroblast
SFRP1	0.98	1.42E-98	3.77E-94	Adventitial Fibroblast
ITM2A	0.98	2.10E-98	5.55E-94	Adventitial Fibroblast
FOSB	1.46	5.15E-98	1.36E-93	Adventitial Fibroblast
LMNA	0.92	7.09E-98	1.88E-93	Adventitial Fibroblast
HTRA3	1.12	1.17E-96	3.10E-92	Adventitial Fibroblast
ALDH1A1	0.75	2.43E-95	6.43E-91	Adventitial Fibroblast
SEPP1	0.65	1.43E-93	3.79E-89	Adventitial Fibroblast
ADH1B	0.89	3.66E-93	9.69E-89	Adventitial Fibroblast
